name,artists,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,formatted_date,tempo_category,duration_category
"Piano Sonata No. 5 in G Major, K. 283: I. Allegro","['Wolfgang Amadeus Mozart', 'Glenn Gould']",134813.0,0.98,0.314,0.243,0.921,0.135,-20.657,0.0379,169.023,0.891,1,7,14,0,1958-01-01,presto,short
Afternoon In Paris,['Benny Golson'],413827.0,0.949,0.478,0.318,0.88,0.114,-14.536,0.0404,154.635,0.698,1,0,12,0,1958-01-01,presto,long
Body & Soul,['Sonny Rollins'],258507.0,0.952,0.675,0.0467,0.665,0.0772,-16.568,0.0887,108.538,0.822,1,10,10,0,1958-01-01,moderato,medium
Brand New Beat,['Gene Vincent'],150493.0,0.337,0.538,0.868,1.36E-5,0.0516,-8.69,0.179,104.924,0.637,1,9,14,0,1958-03-18,moderato,short
"I'll Remember April - Live At The Newport Jazz Festival, 1957",['Carmen McRae'],164400.0,0.676,0.599,0.424,0.0,0.927,-6.239,0.0898,134.996,0.559,1,0,10,0,1958-01-01,presto,short
"Piano Sonata No. 4 in E-Flat Major, K. 282: I. Adagio","['Wolfgang Amadeus Mozart', 'Glenn Gould']",161200.0,0.987,0.315,0.0821,0.917,0.0742,-29.865,0.0461,122.016,0.591,1,3,14,0,1958-01-01,presto,short
"Ohè, là, le guardie...Aprite! (Coro/Un doganiere/Musetta/Mimì/Sergente) - 1997 Remastered Version","['Giacomo Puccini', 'Maria Callas', 'Antonino Votto', 'Orchestra Del Teatro Alla Scala Di Milan', 'Orchestra Del Teatro Alla Scala, Milano']",309360.0,0.971,0.304,0.0253,0.112,0.349,-32.059,0.0381,106.634,0.0635,1,2,15,0,1958-01-01,moderato,long
Ella Speed,['Gil Evans'],347800.0,0.853,0.517,0.313,0.214,0.119,-16.088,0.0727,114.748,0.741,1,0,11,0,1958-01-01,moderato,long
Akaka Falls,['Martin Denny'],171600.0,0.361,0.294,0.2,1.93E-6,0.0956,-17.788,0.0411,117.52,0.127,1,9,8,0,1958-01-01,moderato,short
Will You Still Be Mine,['Sonny Rollins'],178680.0,0.573,0.532,0.496,0.241,0.17,-10.877,0.052,130.72,0.558,0,5,10,0,1958-01-01,presto,short
"\"Die Dreigroschenoper: Ouvertüre (\"\"Sie werden jetzt eine Oper für Bettler hören\"\")\"","['Kurt Weill', 'Wolfgang Neuss', 'Wilhelm Brückner-Rüggeberg']",121333.0,0.967,0.637,0.112,0.212,0.245,-17.238,0.0359,101.007,0.454,0,9,16,0,1958-01-01,moderato,short
"Lady Sings The Blues - Live At The Newport Jazz Festival, 1957",['Billie Holiday'],179120.0,0.92,0.415,0.252,2.67E-5,0.718,-14.223,0.128,170.893,0.275,1,5,12,0,1958-01-01,presto,short
Preacher And The Bear,['The Big Bopper'],143067.0,0.813,0.806,0.785,0.0,0.212,-6.3,0.16,120.538,0.893,1,7,10,0,1958-01-01,presto,short
Flower Drum Song - Original Broadway Cast: Overture,"\"['Richard Rodgers', 'Flower Drum Song Orchestra', \"\"Salvatore Dell'Isola\"\"]\"",249760.0,0.858,0.359,0.233,0.863,0.0874,-17.21,0.0355,131.67,0.502,1,3,8,0,1958-01-01,presto,medium
